TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS BY EXPENDITURE ITEM,,,,,,,,,,,TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS BY EXPENDITURE ITEM,,,,,,,,,,,TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS BY EXPENDITURE ITEM,,,,,,,,,
January-December 2019,,,,,,,,,,,January-December 2019,,,,,,,,,,,January-December 2019,,,,,,,,,
Total,,,,,,,,,,,GROUP TOUR,,,,,,,,,,,Non GROUP TOUR,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Unit : Million Baht,,,,,,,,,,,Unit : Million Baht,,,,,,,,,,,Unit : Million Baht
Country,TOTAL,Shopping,Enter-,Sight-,Accom-,Food &,Local,Medical,Miscel-,,Country,TOTAL,Shopping,Enter-,Sight-,Accom-,Food &,Local,Medical,Miscel-,,Country,TOTAL,Shopping,Enter-,Sight-,Accom-,Food &,Local,Medical,Miscel-
of Residence,,,tainment,seeing,modation,Beverage,Transport,Care,laneous,,of Residence,,,tainment,seeing,modation,Beverage,Transport,Care,laneous,,of Residence,,,tainment,seeing,modation,Beverage,Transport,Care,laneous
East Asia,"1,125,223.49","326,755.17","95,553.62","43,724.38","297,764.48","225,943.77","95,953.73","22,057.00","17,471.34",,East Asia,"278,635.14","97,369.56","22,164.91","21,128.78","57,288.58","51,153.40","22,160.61","1,826.58","5,542.72",,East Asia,"846,588.35","229,385.61","73,388.71","22,595.60","240,475.90","174,790.37","73,793.12","20,230.42","11,928.62"
Asean,"342,370.64","110,421.75","22,866.57","8,030.32","86,859.13","68,252.62","26,904.40","14,667.44","4,368.41",,Asean,"53,064.22","17,447.36","4,364.98","2,649.58","12,446.54","9,941.09","4,483.60",760.95,970.12,,Asean,"289,306.42","92,974.39","18,501.59","5,380.74","74,412.59","58,311.53","22,420.80","13,906.49","3,398.29"
Brunei,945.13,320.83,61.26,23.17,260.53,180.98,71.31,11.00,16.05,,Brunei,119.44,41.63,14.77,6.11,24.87,19.70,10.37,0.00,1.99,,Brunei,825.69,279.20,46.49,17.06,235.66,161.28,60.94,11.00,14.06
Cambodia,"39,277.88","12,883.98","1,487.09",722.25,"7,403.81","7,136.00","3,021.43","6,285.81",337.51,,Cambodia,"2,753.26",932.34,265.95,127.22,513.85,508.90,232.68,132.12,40.20,,Cambodia,"36,524.62","11,951.64","1,221.14",595.03,"6,889.96","6,627.10","2,788.75","6,153.69",297.31
Indonesia,"18,333.62","5,609.68",749.66,621.23,"5,525.29","3,662.25","1,744.51",181.76,239.24,,Indonesia,"4,372.71","1,291.40",184.91,273.36,"1,150.95",882.58,471.25,39.10,79.16,,Indonesia,"13,960.91","4,318.28",564.75,347.87,"4,374.34","2,779.67","1,273.26",142.66,160.08
Laos,"58,035.54","21,324.45","3,080.20",855.05,"12,789.14","11,296.46","4,203.17","4,092.85",394.22,,Laos,"1,640.07",600.09,180.23,86.12,319.82,276.49,149.31,1.77,26.24,,Laos,"56,395.47","20,724.36","2,899.97",768.93,"12,469.32","11,019.97","4,053.86","4,091.08",367.98
Malaysia,"107,457.97","34,269.02","8,755.95","2,984.81","29,124.14","21,381.61","8,360.47","1,055.63","1,526.34",,Malaysia,"26,631.53","8,848.88","2,394.94","1,125.55","6,565.48","5,022.44","1,997.83",263.85,412.56,,Malaysia,"80,826.44","25,420.14","6,361.01","1,859.26","22,558.66","16,359.17","6,362.64",791.78,"1,113.78"
Myanmar,"15,106.83","5,264.89",663.53,245.62,"3,313.77","2,399.21","1,071.25","1,982.01",166.55,,Myanmar,"1,618.05",621.67,92.94,82.70,316.82,271.41,137.57,55.01,39.93,,Myanmar,"13,488.78","4,643.22",570.59,162.92,"2,996.95","2,127.80",933.68,"1,927.00",126.62
Philippines,"19,820.08","5,594.83","1,223.43",613.81,"6,135.92","3,877.76","1,793.87",233.27,347.19,,Philippines,"2,535.89",801.49,163.44,195.71,570.06,441.56,262.14,36.53,64.96,,Philippines,"17,284.19","4,793.34","1,059.99",418.10,"5,565.86","3,436.20","1,531.73",196.74,282.23
Singapore,"43,678.41","12,100.19","4,001.17",869.50,"12,532.11","9,982.71","3,229.35",190.66,772.72,,Singapore,"4,438.53","1,346.33",466.67,246.07,978.88,918.92,339.46,58.17,84.03,,Singapore,"39,239.88","10,753.86","3,534.50",623.43,"11,553.23","9,063.79","2,889.89",132.49,688.69
Vietnam,"39,715.18","13,053.88","2,844.28","1,094.88","9,774.42","8,335.64","3,409.04",634.45,568.59,,Vietnam,"8,954.74","2,963.53",601.13,506.74,"2,005.81","1,599.09",882.99,174.40,221.05,,Vietnam,"30,760.44","10,090.35","2,243.15",588.14,"7,768.61","6,736.55","2,526.05",460.05,347.54
China,"531,576.65","167,050.69","40,421.47","27,583.63","132,141.87","102,743.52","47,566.43","5,320.54","8,748.50",,China,"176,336.51","66,725.77","11,229.99","15,364.54","33,105.90","31,713.96","13,920.46",899.14,"3,376.75",,China,"355,240.14","100,324.92","29,191.48","12,219.09","99,035.97","71,029.56","33,645.97","4,421.40","5,371.75"
Hong Kong,"42,973.72","10,661.00","4,468.91","1,194.41","12,786.41","9,281.71","3,203.46",524.12,853.70,,Hong Kong,"6,737.96","1,901.63",700.71,380.05,"1,629.45","1,371.04",544.96,37.31,172.81,,Hong Kong,"36,235.76","8,759.37","3,768.20",814.36,"11,156.96","7,910.67","2,658.50",486.81,680.89
Japan,"93,758.84","14,344.00","14,539.98","3,039.89","30,845.34","20,946.17","8,461.33",290.18,"1,291.95",,Japan,"13,312.50","2,725.37","1,886.00",895.23,"3,673.64","2,633.77","1,140.61",54.35,303.53,,Japan,"80,446.34","11,618.63","12,653.98","2,144.66","27,171.70","18,312.40","7,320.72",235.83,988.42
Korea,"75,435.78","15,044.26","9,454.26","2,488.02","23,254.46","16,236.03","6,547.29",938.09,"1,473.37",,Korea,"21,812.87","6,539.21","3,275.28","1,237.29","4,737.29","3,949.97","1,511.02",15.27,547.54,,Korea,"53,622.91","8,505.05","6,178.98","1,250.73","18,517.17","12,286.06","5,036.27",922.82,925.83
Taiwan,"33,535.47","7,703.98","3,168.67","1,234.39","10,330.99","7,346.13","2,797.33",299.54,654.44,,Taiwan,"6,407.48","1,679.65",590.44,551.84,"1,503.90","1,372.02",494.24,58.30,157.09,,Taiwan,"27,127.99","6,024.33","2,578.23",682.55,"8,827.09","5,974.11","2,303.09",241.24,497.35
Others in East Asia,"5,572.39","1,529.49",633.76,153.72,"1,546.28","1,137.59",473.49,17.09,80.97,,Others in East Asia,963.60,350.57,117.51,50.25,191.86,171.55,65.72,1.26,14.88,,Others in East Asia,"4,608.79","1,178.92",516.25,103.47,"1,354.42",966.04,407.77,15.83,66.09
Europe,"448,743.81","67,614.76","41,855.35","17,302.87","147,792.43","108,298.73","53,852.89","5,368.72","6,658.06",,Europe,"71,805.04","12,831.50","6,679.97","4,547.27","20,685.48","16,284.18","8,674.42",465.46,"1,636.76",,Europe,"376,938.77","54,783.26","35,175.38","12,755.60","127,106.95","92,014.55","45,178.47","4,903.26","5,021.30"
Austria,"7,873.28",994.10,666.57,353.03,"2,755.98","1,954.81",947.08,84.96,116.75,,Austria,986.56,144.43,87.26,92.85,303.46,229.21,109.20,0.17,19.98,,Austria,"6,886.72",849.67,579.31,260.18,"2,452.52","1,725.60",837.88,84.79,96.77
Belgium,"7,312.50","1,115.39",687.78,315.89,"2,115.25","1,992.96",941.05,21.31,122.87,,Belgium,"1,057.61",156.90,90.63,85.06,311.54,267.65,116.06,0.00,29.77,,Belgium,"6,254.89",958.49,597.15,230.83,"1,803.71","1,725.31",824.99,21.31,93.10
Denmark,"13,784.14","2,337.72","1,590.27",432.25,"4,515.37","3,194.88","1,494.49",112.69,106.47,,Denmark,"2,028.28",445.61,258.35,140.59,505.31,437.91,204.86,0.43,35.22,,Denmark,"11,755.86","1,892.11","1,331.92",291.66,"4,010.06","2,756.97","1,289.63",112.26,71.25
Finland,"9,858.37","1,526.46","1,174.09",313.35,"3,049.13","2,499.70","1,140.17",43.30,112.17,,Finland,"1,624.94",319.75,218.33,96.32,400.63,374.35,175.71,0.03,39.82,,Finland,"8,233.43","1,206.71",955.76,217.03,"2,648.50","2,125.35",964.46,43.27,72.35
France,"42,827.24","5,416.81","3,610.41","1,619.80","14,755.20","10,076.69","6,099.17",636.67,612.49,,France,"6,775.29",971.44,436.97,318.42,"2,301.30","1,668.37",912.98,6.14,159.67,,France,"36,051.95","4,445.37","3,173.44","1,301.38","12,453.90","8,408.32","5,186.19",630.53,452.82
Germany,"52,169.50","6,394.97","4,293.08","1,835.07","19,052.55","12,280.43","6,873.04",691.85,748.51,,Germany,"6,073.90",754.54,530.04,383.69,"1,978.07","1,439.32",750.98,87.69,149.57,,Germany,"46,095.60","5,640.43","3,763.04","1,451.38","17,074.48","10,841.11","6,122.06",604.16,598.94
Italy,"14,776.71","1,976.36","1,243.41",678.88,"4,801.78","3,596.62","2,103.52",170.76,205.38,,Italy,"2,210.99",318.22,188.93,174.02,632.13,517.34,302.80,14.28,63.27,,Italy,"12,565.72","1,658.14","1,054.48",504.86,"4,169.65","3,079.28","1,800.72",156.48,142.11
Netherlands,"16,291.98","2,541.17","1,614.12",820.56,"4,874.29","3,994.48","2,069.14",119.68,258.54,,Netherlands,"2,213.85",298.16,309.01,154.45,619.50,490.39,261.87,31.75,48.72,,Netherlands,"14,078.13","2,243.01","1,305.11",666.11,"4,254.79","3,504.09","1,807.27",87.93,209.82
Norway,"11,970.93","2,299.76","1,352.70",341.73,"3,423.74","2,917.59","1,301.38",142.00,192.03,,Norway,"1,430.26",287.50,210.34,77.72,383.36,283.43,147.88,0.07,39.96,,Norway,"10,540.67","2,012.26","1,142.36",264.01,"3,040.38","2,634.16","1,153.50",141.93,152.07
Russia,"102,895.03","18,843.19","8,169.80","3,897.64","33,946.61","25,024.07","10,220.44","1,348.01","1,445.27",,Russia,"23,056.09","4,616.76","1,945.35","1,484.82","6,287.71","5,164.08","2,854.83",235.20,467.34,,Russia,"79,838.94","14,226.43","6,224.45","2,412.82","27,658.90","19,859.99","7,365.61","1,112.81",977.93
Spain,"11,181.50","1,487.64","1,014.35",574.32,"3,456.78","2,684.49","1,697.78",92.75,173.39,,Spain,"1,881.46",303.08,140.87,148.96,566.80,427.51,238.24,15.72,40.28,,Spain,"9,300.04","1,184.56",873.48,425.36,"2,889.98","2,256.98","1,459.54",77.03,133.11
Sweden,"23,771.56","3,949.93","2,262.44",469.48,"7,968.76","6,079.22","2,511.32",267.79,262.62,,Sweden,"2,213.66",498.69,238.72,99.49,661.01,476.61,187.29,0.05,51.80,,Sweden,"21,557.90","3,451.24","2,023.72",369.99,"7,307.75","5,602.61","2,324.03",267.74,210.82
Switzerland,"15,877.93","2,396.03","1,620.58",562.75,"4,895.47","4,060.88","1,986.11",129.11,227.00,,Switzerland,"1,528.82",272.65,188.74,73.06,440.10,356.52,155.21,0.88,41.66,,Switzerland,"14,349.11","2,123.38","1,431.84",489.69,"4,455.37","3,704.36","1,830.90",128.23,185.34
United Kingdom,"72,318.73","8,434.00","8,117.24","3,047.36","24,528.62","17,003.01","8,708.68","1,151.04","1,328.78",,United Kingdom,"8,202.15","1,157.16",762.31,564.72,"2,533.08","1,821.40","1,104.51",46.56,212.41,,United Kingdom,"64,116.58","7,276.84","7,354.93","2,482.64","21,995.54","15,181.61","7,604.17","1,104.48","1,116.37"
East Europe,"32,008.29","5,680.63","2,864.07","1,379.35","9,669.65","7,662.77","4,028.68",206.83,516.31,,East Europe,"7,901.28","1,772.98",699.16,484.51,"2,095.02","1,783.05",870.65,19.88,176.03,,East Europe,"24,107.01","3,907.65","2,164.91",894.84,"7,574.63","5,879.72","3,158.03",186.95,340.28
Others in Europe,"13,826.12","2,220.60","1,574.44",661.41,"3,983.25","3,276.13","1,730.84",149.97,229.48,,Others in Europe,"2,619.90",513.63,374.96,168.59,666.46,547.04,281.35,6.61,61.26,,Others in Europe,"11,206.22","1,706.97","1,199.48",492.82,"3,316.79","2,729.09","1,449.49",143.36,168.22
The Americas,"105,087.99","15,562.21","10,317.61","5,441.32","33,158.01","23,250.46","13,891.28","1,742.34","1,724.76",,The Americas,"10,827.48","2,068.81",965.17,874.49,"3,045.49","2,236.08","1,217.39",155.08,264.97,,The Americas,"94,260.51","13,493.40","9,352.44","4,566.83","30,112.52","21,014.38","12,673.89","1,587.26","1,459.79"
Argentina,"1,799.19",323.39,180.14,84.91,512.12,416.42,253.87,7.85,20.49,,Argentina,304.17,60.36,32.75,19.39,80.91,70.09,33.77,0.00,6.90,,Argentina,"1,495.02",263.03,147.39,65.52,431.21,346.33,220.10,7.85,13.59
Brazil,"3,679.45",631.83,343.91,167.15,"1,160.52",807.49,488.69,34.08,45.78,,Brazil,592.54,130.64,78.09,34.54,148.78,129.36,56.74,2.25,12.14,,Brazil,"3,086.91",501.19,265.82,132.61,"1,011.74",678.13,431.95,31.83,33.64
Canada,"17,636.96","2,799.56","1,749.79",854.66,"5,083.15","4,144.91","2,347.64",392.07,265.18,,Canada,"2,230.28",343.58,205.82,201.26,628.20,446.57,274.02,82.13,48.70,,Canada,"15,406.68","2,455.98","1,543.97",653.40,"4,454.95","3,698.34","2,073.62",309.94,216.48
USA,"76,819.24","10,822.62","7,500.47","4,061.98","24,934.29","16,753.86","10,138.66","1,279.49","1,327.87",,USA,"6,693.55","1,281.22",536.79,545.11,"1,937.10","1,392.87",753.76,67.15,179.55,,USA,"70,125.69","9,541.40","6,963.68","3,516.87","22,997.19","15,360.99","9,384.90","1,212.34","1,148.32"
Others  in America,"5,153.15",984.81,543.30,272.62,"1,467.93","1,127.78",662.42,28.85,65.44,,Others  in America,"1,006.94",253.01,111.72,74.19,250.50,197.19,99.10,3.55,17.68,,Others  in America,"4,146.21",731.80,431.58,198.43,"1,217.43",930.59,563.32,25.30,47.76
South Asia,"100,168.16","26,119.69","11,365.69","3,794.40","26,328.26","20,023.63","9,622.25","1,392.78","1,521.46",,South Asia,"20,612.87","6,000.57","2,108.28","1,029.04","4,990.43","3,932.45","2,000.56",145.95,405.59,,South Asia,"79,555.29","20,119.12","9,257.41","2,765.36","21,337.83","16,091.18","7,621.69","1,246.83","1,115.87"
Bangladesh,"6,730.08","2,208.25",408.18,143.38,"1,538.95","1,202.16",620.54,534.81,73.81,,Bangladesh,"1,014.42",353.79,66.98,52.81,225.76,174.66,102.27,16.85,21.30,,Bangladesh,"5,715.66","1,854.46",341.20,90.57,"1,313.19","1,027.50",518.27,517.96,52.51
India,"80,039.88","19,615.17","9,776.41","3,326.44","21,444.72","16,051.10","7,810.76",760.11,"1,255.17",,India,"17,040.40","4,767.69","1,811.63",867.53,"4,202.25","3,260.43","1,680.05",118.47,332.35,,India,"62,999.48","14,847.48","7,964.78","2,458.91","17,242.47","12,790.67","6,130.71",641.64,922.82
Nepal,"2,969.18","1,001.02",248.47,91.56,673.23,612.05,265.19,33.67,43.99,,Nepal,661.82,243.12,55.81,28.66,137.42,121.23,56.89,5.24,13.45,,Nepal,"2,307.36",757.90,192.66,62.90,535.81,490.82,208.30,28.43,30.54
Pakistan,"4,418.12","1,309.64",383.72,102.23,"1,166.16",939.78,426.30,21.34,68.95,,Pakistan,671.50,207.97,64.18,29.78,161.20,129.39,60.89,1.12,16.97,,Pakistan,"3,746.62","1,101.67",319.54,72.45,"1,004.96",810.39,365.41,20.22,51.98
Sri Lanka,"2,814.05","1,002.15",214.16,60.89,697.75,538.16,232.26,24.37,44.31,,Sri Lanka,595.30,226.59,36.18,22.52,126.77,113.18,54.12,3.23,12.71,,Sri Lanka,"2,218.75",775.56,177.98,38.37,570.98,424.98,178.14,21.14,31.60
Others in South Asia,"3,196.85",983.46,334.75,69.90,807.45,680.38,267.20,18.48,35.23,,Others in South Asia,629.43,201.41,73.50,27.74,137.03,133.56,46.34,1.04,8.81,,Others in South Asia,"2,567.42",782.05,261.25,42.16,670.42,546.82,220.86,17.44,26.42
Oceania,"61,898.66","10,223.63","6,724.35","2,332.51","19,802.11","13,474.42","6,255.98","1,949.80","1,135.86",,Oceania,"4,516.01",873.30,535.23,268.07,"1,168.59",995.37,473.25,76.93,125.27,,Oceania,"57,382.65","9,350.33","6,189.12","2,064.44","18,633.52","12,479.05","5,782.73","1,872.87","1,010.59"
Australia,"55,402.66","9,081.07","6,030.03","2,065.44","17,866.13","12,063.97","5,571.16","1,694.00","1,030.86",,Australia,"3,809.32",698.33,445.85,221.12,"1,003.75",855.77,407.22,68.79,108.49,,Australia,"51,593.34","8,382.74","5,584.18","1,844.32","16,862.38","11,208.20","5,163.94","1,625.21",922.37
New Zealand,"5,976.15","1,043.99",639.04,242.37,"1,776.88","1,294.95",634.24,246.27,98.41,,New Zealand,641.55,156.05,81.49,42.54,150.02,127.11,60.74,8.06,15.54,,New Zealand,"5,334.60",887.94,557.55,199.83,"1,626.86","1,167.84",573.50,238.21,82.87
Others  in Ociania,519.85,98.57,55.28,24.70,159.10,115.50,50.58,9.53,6.59,,Others  in Ociania,65.14,18.92,7.89,4.41,14.82,12.49,5.29,0.08,1.24,,Others  in Ociania,454.71,79.65,47.39,20.29,144.28,103.01,45.29,9.45,5.35
Middle East,"57,381.19","14,062.24","5,867.22","1,499.63","16,219.25","11,073.86","5,720.32","2,243.23",695.44,,Middle East,"8,334.16","2,234.25","1,073.54",398.04,"2,063.10","1,572.53",774.95,64.07,153.68,,Middle East,"49,047.03","11,827.99","4,793.68","1,101.59","14,156.15","9,501.33","4,945.37","2,179.16",541.76
Egypt,"1,482.11",395.03,161.08,42.61,439.51,296.68,135.79,1.67,9.74,,Egypt,235.62,75.50,25.18,13.89,56.19,43.27,17.60,0.77,3.22,,Egypt,"1,246.49",319.53,135.90,28.72,383.32,253.41,118.19,0.90,6.52
Israel,"16,090.66","3,602.27","1,493.54",429.68,"5,060.48","3,242.09","2,052.18",49.10,161.32,,Israel,"1,823.06",479.98,238.31,81.11,458.46,357.86,175.55,2.37,29.42,,Israel,"14,267.60","3,122.29","1,255.23",348.57,"4,602.02","2,884.23","1,876.63",46.73,131.90
Kuwait,"7,675.40","1,876.49",947.24,195.36,"2,177.64","1,529.07",700.28,166.46,82.86,,Kuwait,806.15,216.43,102.94,45.87,193.51,158.34,69.96,3.38,15.72,,Kuwait,"6,869.25","1,660.06",844.30,149.49,"1,984.13","1,370.73",630.32,163.08,67.14
Saudi Arabia,"3,220.15",794.91,465.53,80.87,883.68,652.32,277.74,37.26,27.84,,Saudi Arabia,640.80,179.49,90.60,28.72,145.42,119.07,53.00,13.08,11.42,,Saudi Arabia,"2,579.35",615.42,374.93,52.15,738.26,533.25,224.74,24.18,16.42
U.A.E.,"11,077.15","2,736.74","1,069.45",288.69,"2,989.01","2,156.41",967.79,691.70,177.36,,U.A.E.,"1,667.23",373.26,254.49,75.19,437.40,335.15,140.83,9.14,41.77,,U.A.E.,"9,409.92","2,363.48",814.96,213.50,"2,551.61","1,821.26",826.96,682.56,135.59
Others in Middle East,"17,835.72","4,656.80","1,730.38",462.42,"4,668.93","3,197.29","1,586.54","1,297.04",236.32,,Others in Middle East,"3,161.30",909.59,362.02,153.26,772.12,558.84,318.01,35.33,52.13,,Others in Middle East,"14,674.42","3,747.21","1,368.36",309.16,"3,896.81","2,638.45","1,268.53","1,261.71",184.19
Africa,"13,304.65","4,231.50",994.42,383.08,"3,430.47","2,522.42","1,236.03",324.97,181.76,,Africa,"2,363.53",692.75,200.43,119.25,570.67,467.49,223.24,40.48,49.22,,Africa,"10,941.12","3,538.75",793.99,263.83,"2,859.80","2,054.93","1,012.79",284.49,132.54
South  Africa,"5,730.55","1,389.86",519.26,217.23,"1,642.46","1,170.94",646.49,57.90,86.41,,South  Africa,814.80,207.71,71.15,42.98,219.67,148.46,84.78,18.40,21.65,,South  Africa,"4,915.75","1,182.15",448.11,174.25,"1,422.79","1,022.48",561.71,39.50,64.76
Others in Africa,"7,574.10","2,841.64",475.16,165.85,"1,788.01","1,351.48",589.54,267.07,95.35,,Others in Africa,"1,548.73",485.04,129.28,76.27,351.00,319.03,138.46,22.08,27.57,,Others in Africa,"6,025.37","2,356.60",345.88,89.58,"1,437.01","1,032.45",451.08,244.99,67.78
Grand Total,"1,911,807.95","464,569.20","172,678.26","74,478.19","544,495.01","404,587.29","186,532.48","35,078.84","29,388.68",,Grand Total,"397,094.23","122,070.74","33,727.53","28,364.94","89,812.34","76,641.50","35,524.42","2,774.55","8,178.21",,Grand Total,"1,514,713.72","342,498.46","138,950.73","46,113.25","454,682.67","327,945.79","151,008.06","32,304.29","21,210.47"
